name,meal_type,calories,protein_g,carbs_g,fat_g,food_type,cuisine,is_healthy,tags
Hyderabadi Biryani,lunch,635,14.0,52.2,12.1,non_vegetarian,mixed,1,balanced|beginner
Boiled Eggs,snack,98,3.6,10.5,3.7,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Tofu Curry,dinner,449,5.1,78.6,6.3,vegan,north_indian,0,balanced|beginner
Dal Tadka,dinner,466,15.2,58.2,9.8,vegetarian,north_indian,1,balanced|beginner
Paneer Bhurji,dinner,554,13.3,38.1,21.5,vegetarian,mixed,1,weight_loss|light
Fruit Salad,snack,265,4.4,27.2,13.1,vegan,north_indian,1,weight_loss|light
Upma,breakfast,405,19.6,51.7,7.8,vegetarian,mixed,1,balanced|beginner
Paneer Sandwich,breakfast,277,9.1,29.6,11.1,vegetarian,north_indian,1,weight_loss|light
Protein Shake,snack,193,6.7,23.0,6.5,vegetarian,south_indian,1,improve_stamina|carb_rich
Corn Chaat,snack,250,10.6,40.4,2.9,vegan,mixed,1,weight_loss|light
Fruit Salad,snack,203,11.3,26.5,3.9,vegan,north_indian,1,balanced|beginner
Kadhi Rice,lunch,602,14.1,56.0,23.7,vegetarian,north_indian,0,weight_loss|light
Paneer Cubes,snack,217,7.0,24.1,8.4,vegetarian,north_indian,1,muscle_gain|high_protein
Mixed Veg Curry,dinner,630,17.2,51.2,22.3,vegetarian,north_indian,0,weight_loss|light
Tofu Scramble,breakfast,205,8.5,23.1,6.9,vegan,mixed,1,muscle_gain|high_protein
Buttermilk,snack,122,2.9,16.0,4.1,vegetarian,mixed,1,improve_stamina|carb_rich
Paneer Sandwich,breakfast,276,9.0,22.9,14.0,vegetarian,north_indian,1,improve_stamina|carb_rich
Pav Bhaji,lunch,507,14.2,78.9,7.2,vegetarian,mixed,1,improve_stamina|carb_rich
Paneer Cubes,snack,157,8.5,15.1,5.6,vegetarian,north_indian,1,balanced|beginner
Thepla,breakfast,358,7.8,27.3,24.8,vegetarian,north_indian,0,balanced|beginner
Roti Sabji,dinner,396,5.8,51.9,9.8,vegetarian,south_indian,0,balanced|beginner
Roasted Chana,snack,278,6.4,49.1,3.8,vegan,north_indian,0,improve_stamina|carb_rich
Fruit Salad,snack,230,4.7,28.1,8.9,vegan,north_indian,1,improve_stamina|carb_rich
Protein Shake,snack,116,4.3,13.2,4.1,vegetarian,south_indian,1,weight_loss|light
Rajma Chawal,lunch,657,16.6,43.7,23.2,vegetarian,north_indian,0,balanced|beginner
Upma,breakfast,433,44.4,65.9,4.5,vegetarian,north_indian,1,muscle_gain|high_protein
Egg Curry,dinner,510,16.8,29.5,21.4,non_vegetarian,north_indian,1,balanced|beginner
Rajma Chawal,lunch,481,16.7,37.6,13.2,vegetarian,north_indian,1,balanced|beginner
Paneer Roti,lunch,471,17.2,60.4,5.7,vegetarian,north_indian,1,weight_loss|light
Fish Curry Rice,lunch,388,7.5,33.8,20.9,non_vegetarian,north_indian,0,balanced|beginner
Thepla,breakfast,367,14.0,48.1,17.4,vegetarian,north_indian,1,weight_loss|light
Roti Sabji,dinner,380,16.6,26.3,20.3,vegetarian,north_indian,1,weight_loss|light
Protein Shake,snack,139,3.7,9.8,8.2,vegetarian,mixed,1,improve_stamina|carb_rich
Sprouts Salad,snack,92,2.7,14.2,1.9,vegan,north_indian,1,improve_stamina|carb_rich
Chicken Curry Rice,lunch,543,18.1,66.6,18.1,non_vegetarian,north_indian,1,weight_loss|light
Idli Sambar,breakfast,363,5.3,64.8,14.6,vegetarian,mixed,1,improve_stamina|carb_rich
Tofu Stir Fry,lunch,525,34.1,29.5,19.7,vegan,south_indian,1,muscle_gain|high_protein
Boiled Eggs,snack,102,3.6,12.3,3.4,non_vegetarian,south_indian,1,improve_stamina|carb_rich
Fish Curry Rice,lunch,696,23.8,70.7,21.4,non_vegetarian,south_indian,0,weight_loss|light
Vegetable Soup,dinner,407,8.0,47.2,6.5,vegan,north_indian,0,improve_stamina|carb_rich
Chicken Curry Rice,lunch,539,23.2,31.1,25.0,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Corn Chaat,snack,177,3.5,31.3,2.7,vegan,north_indian,1,balanced|beginner
Vegetable Poha,breakfast,324,17.5,56.8,7.5,vegetarian,south_indian,1,balanced|beginner
Sprouts Salad,snack,296,7.0,48.9,5.4,vegan,mixed,0,balanced|beginner
Vegetable Khichdi,lunch,419,43.8,30.3,3.5,vegetarian,mixed,1,muscle_gain|high_protein
Oats with Milk,breakfast,183,7.3,12.8,9.7,vegetarian,south_indian,1,balanced|beginner
Rajma Chawal,lunch,375,7.5,45.4,14.8,vegetarian,north_indian,0,balanced|beginner
Boiled Eggs,snack,202,12.5,18.7,6.8,non_vegetarian,south_indian,1,muscle_gain|high_protein
Buttermilk,snack,141,6.4,11.9,6.3,vegetarian,mixed,1,improve_stamina|carb_rich
Paneer Sandwich,breakfast,217,5.3,40.2,6.3,vegetarian,mixed,1,improve_stamina|carb_rich
Buttermilk,snack,224,12.6,29.1,4.4,vegetarian,south_indian,1,muscle_gain|high_protein
Vegetable Poha,breakfast,331,8.5,39.2,12.6,vegetarian,north_indian,1,improve_stamina|carb_rich
Dal Tadka,dinner,699,28.9,74.1,22.9,vegetarian,mixed,0,muscle_gain|high_protein
Dal Tadka,dinner,529,19.2,52.1,3.3,vegetarian,north_indian,1,muscle_gain|high_protein
Tofu Scramble,breakfast,347,16.3,50.8,5.7,vegan,mixed,1,muscle_gain|high_protein
Vegetable Soup,dinner,376,13.1,48.2,11.2,vegan,north_indian,1,muscle_gain|high_protein
Oats with Milk,breakfast,397,7.9,59.5,8.1,vegetarian,mixed,1,improve_stamina|carb_rich
Dal Rice,lunch,482,10.2,29.5,22.2,vegetarian,north_indian,0,weight_loss|light
Paneer Sandwich,breakfast,236,18.2,26.9,4.1,vegetarian,south_indian,1,muscle_gain|high_protein
Rajma Chawal,lunch,517,27.2,52.3,3.2,vegetarian,mixed,1,muscle_gain|high_protein
Chicken Curry Rice,lunch,393,9.0,54.3,12.1,non_vegetarian,mixed,0,improve_stamina|carb_rich
Dal Rice,lunch,424,11.8,22.7,22.6,vegetarian,south_indian,0,weight_loss|light
Paneer Sandwich,breakfast,244,6.5,26.3,10.3,vegetarian,mixed,1,weight_loss|light
Rajma Chawal,lunch,569,19.1,44.9,18.9,vegetarian,mixed,1,balanced|beginner
Fruit Bowl,breakfast,340,40.5,24.0,9.5,vegan,north_indian,1,muscle_gain|high_protein
Vegetable Poha,breakfast,361,10.8,52.0,4.2,vegetarian,north_indian,1,weight_loss|light
Vegetable Khichdi,lunch,652,43.3,69.8,17.3,vegetarian,north_indian,1,muscle_gain|high_protein
Tofu Scramble,breakfast,297,3.3,38.4,11.8,vegan,north_indian,1,weight_loss|light
Oats with Milk,breakfast,195,3.0,30.5,5.1,vegetarian,north_indian,1,weight_loss|light
Paneer Roti,lunch,395,8.7,50.2,14.2,vegetarian,mixed,1,weight_loss|light
Mixed Veg Curry,dinner,572,10.3,44.7,27.7,vegetarian,north_indian,0,improve_stamina|carb_rich
Peanut Chaat,snack,88,4.6,13.1,1.1,vegetarian,north_indian,1,weight_loss|light
Tofu Scramble,breakfast,173,5.4,31.0,1.5,vegan,north_indian,1,weight_loss|light
Fruit Bowl,breakfast,180,5.4,24.3,5.2,vegan,south_indian,1,balanced|beginner
Paneer Cubes,snack,137,3.0,15.4,5.8,vegetarian,south_indian,1,balanced|beginner
Paneer Sandwich,breakfast,214,17.2,24.5,3.3,vegetarian,mixed,1,muscle_gain|high_protein
Pav Bhaji,lunch,516,10.5,56.5,8.9,vegetarian,north_indian,0,improve_stamina|carb_rich
Grilled Chicken,dinner,380,6.6,71.1,6.8,non_vegetarian,mixed,0,improve_stamina|carb_rich
Roti Sabji,dinner,499,14.4,55.7,19.9,vegetarian,north_indian,1,weight_loss|light
Peanut Chaat,snack,285,4.5,29.4,14.1,vegetarian,north_indian,1,weight_loss|light
Corn Chaat,snack,295,8.3,26.9,14.5,vegan,mixed,0,improve_stamina|carb_rich
Protein Shake,snack,168,5.5,21.8,5.0,vegetarian,north_indian,1,weight_loss|light
Rajma Chawal,lunch,600,15.2,47.5,13.1,vegetarian,north_indian,1,weight_loss|light
Oats with Milk,breakfast,378,19.9,76.3,4.6,vegetarian,south_indian,1,muscle_gain|high_protein
Buttermilk,snack,139,6.5,17.7,3.5,vegetarian,south_indian,1,improve_stamina|carb_rich
Vegetable Khichdi,lunch,591,27.0,42.4,11.9,vegetarian,north_indian,1,muscle_gain|high_protein
Paneer Bhurji,dinner,491,14.6,62.3,19.1,vegetarian,mixed,1,balanced|beginner
Masala Omelette,breakfast,431,18.6,48.8,6.4,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Grilled Chicken,dinner,575,16.5,32.8,16.5,non_vegetarian,mixed,1,improve_stamina|carb_rich
Protein Shake,snack,207,5.5,17.2,11.1,vegetarian,mixed,1,weight_loss|light
Hyderabadi Biryani,lunch,559,19.9,30.0,17.0,non_vegetarian,south_indian,1,muscle_gain|high_protein
Dal Rice,lunch,513,15.7,29.3,23.8,vegetarian,north_indian,0,weight_loss|light
Roti Sabji,dinner,596,18.1,65.8,15.2,vegetarian,north_indian,1,balanced|beginner
Protein Shake,snack,115,3.5,17.3,2.5,vegetarian,south_indian,1,balanced|beginner
Fruit Salad,snack,205,11.4,19.9,7.1,vegan,mixed,1,improve_stamina|carb_rich
Vegetable Khichdi,lunch,365,13.0,45.9,11.2,vegetarian,north_indian,1,improve_stamina|carb_rich
Roti Sabji,dinner,404,18.5,31.5,7.5,vegetarian,south_indian,1,improve_stamina|carb_rich
Sprouts Salad,snack,179,6.8,23.4,4.9,vegan,mixed,1,balanced|beginner
Sabudana Khichdi,breakfast,230,9.0,15.0,12.8,vegetarian,north_indian,1,balanced|beginner
Dal Rice,lunch,666,6.1,43.0,23.7,vegetarian,south_indian,0,improve_stamina|carb_rich
Boiled Eggs,snack,202,6.7,24.0,7.0,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Thepla,breakfast,431,17.5,36.5,15.3,vegetarian,north_indian,0,balanced|beginner
Fruit Bowl,breakfast,213,14.8,10.1,10.7,vegan,north_indian,1,muscle_gain|high_protein
Vegetable Khichdi,lunch,579,37.7,43.6,16.6,vegetarian,south_indian,1,balanced|beginner
Idli Sambar,breakfast,373,12.6,22.8,19.3,vegetarian,north_indian,0,balanced|beginner
Egg Curry,dinner,613,13.5,71.0,20.7,non_vegetarian,mixed,1,weight_loss|light
Fish Curry Rice,lunch,573,8.1,67.4,20.6,non_vegetarian,north_indian,0,weight_loss|light
Tofu Curry,dinner,380,3.8,48.0,15.8,vegan,mixed,0,improve_stamina|carb_rich
Tofu Stir Fry,lunch,692,22.0,67.0,15.0,vegan,mixed,1,muscle_gain|high_protein
Paneer Roti,lunch,601,10.3,69.3,19.3,vegetarian,north_indian,0,weight_loss|light
Boiled Eggs,snack,228,3.2,29.5,8.8,non_vegetarian,mixed,1,improve_stamina|carb_rich
Fish Fry,dinner,443,18.0,23.5,11.4,non_vegetarian,north_indian,1,weight_loss|light
Protein Shake,snack,194,2.1,22.1,9.1,vegetarian,north_indian,1,weight_loss|light
Rajma Chawal,lunch,380,12.5,69.1,4.5,vegetarian,north_indian,1,improve_stamina|carb_rich
Fruit Bowl,breakfast,206,2.7,28.6,7.1,vegan,north_indian,1,weight_loss|light
Boiled Eggs,snack,200,16.3,22.6,3.2,non_vegetarian,north_indian,1,muscle_gain|high_protein
Pav Bhaji,lunch,366,25.9,39.8,8.2,vegetarian,mixed,1,muscle_gain|high_protein
Paneer Sandwich,breakfast,406,12.0,71.6,9.1,vegetarian,north_indian,1,weight_loss|light
Sabudana Khichdi,breakfast,258,5.2,33.0,9.4,vegetarian,north_indian,1,improve_stamina|carb_rich
Egg Curry,dinner,677,23.2,74.8,18.1,non_vegetarian,north_indian,0,balanced|beginner
Sabudana Khichdi,breakfast,222,9.9,20.0,9.4,vegetarian,mixed,1,muscle_gain|high_protein
Vegetable Poha,breakfast,254,13.7,39.3,2.4,vegetarian,north_indian,1,muscle_gain|high_protein
Paneer Bhurji,dinner,448,11.1,20.3,20.8,vegetarian,north_indian,0,weight_loss|light
Fish Fry,dinner,416,31.4,33.5,13.7,non_vegetarian,south_indian,1,muscle_gain|high_protein
Vegetable Khichdi,lunch,661,35.5,24.1,18.6,vegetarian,north_indian,1,muscle_gain|high_protein
Paneer Bhurji,dinner,430,11.8,41.8,4.6,vegetarian,north_indian,0,weight_loss|light
Thepla,breakfast,391,10.5,54.5,17.3,vegetarian,north_indian,1,improve_stamina|carb_rich
Vegetable Khichdi,lunch,489,11.8,45.6,19.1,vegetarian,north_indian,0,balanced|beginner
Paneer Roti,lunch,598,28.7,55.3,20.1,vegetarian,south_indian,1,muscle_gain|high_protein
Paneer Cubes,snack,174,8.1,28.0,1.8,vegetarian,mixed,1,weight_loss|light
Buttermilk,snack,168,2.8,12.1,10.6,vegetarian,north_indian,1,improve_stamina|carb_rich
Chicken Curry Rice,lunch,600,12.8,20.4,23.3,non_vegetarian,mixed,0,weight_loss|light
Vegetable Poha,breakfast,387,12.0,50.8,11.7,vegetarian,south_indian,1,balanced|beginner
Tofu Scramble,breakfast,345,17.8,71.3,3.1,vegan,north_indian,1,improve_stamina|carb_rich
Boiled Eggs,snack,195,14.3,12.0,8.2,non_vegetarian,north_indian,1,muscle_gain|high_protein
Dal Tadka,dinner,618,6.2,75.3,22.4,vegetarian,north_indian,0,balanced|beginner
Upma,breakfast,387,11.2,46.1,14.1,vegetarian,north_indian,1,balanced|beginner
Paneer Bhurji,dinner,450,21.9,43.3,17.0,vegetarian,mixed,1,muscle_gain|high_protein
Grilled Chicken,dinner,536,10.4,59.4,17.8,non_vegetarian,north_indian,0,balanced|beginner
Fruit Salad,snack,237,6.0,27.5,9.3,vegan,north_indian,1,improve_stamina|carb_rich
Oats with Milk,breakfast,437,15.2,64.0,10.9,vegetarian,north_indian,0,improve_stamina|carb_rich
Fish Curry Rice,lunch,438,6.7,28.3,13.2,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Thepla,breakfast,364,6.2,48.8,12.7,vegetarian,south_indian,1,weight_loss|light
Chicken Curry Rice,lunch,632,21.2,75.4,14.7,non_vegetarian,north_indian,1,balanced|beginner
Fish Curry Rice,lunch,354,18.6,49.1,11.2,non_vegetarian,north_indian,1,weight_loss|light
Paneer Bhurji,dinner,376,14.0,32.2,17.9,vegetarian,south_indian,1,improve_stamina|carb_rich
Dal Rice,lunch,681,12.7,93.4,14.9,vegetarian,north_indian,0,weight_loss|light
Masala Omelette,breakfast,243,4.2,40.3,5.1,non_vegetarian,north_indian,1,balanced|beginner
Fruit Bowl,breakfast,427,16.2,34.5,23.4,vegan,south_indian,0,improve_stamina|carb_rich
Paneer Sandwich,breakfast,387,4.3,45.1,17.6,vegetarian,north_indian,1,balanced|beginner
Egg Curry,dinner,467,31.3,36.7,24.8,non_vegetarian,north_indian,0,muscle_gain|high_protein
Chicken Curry Rice,lunch,629,15.6,77.7,16.8,non_vegetarian,south_indian,1,weight_loss|light
Buttermilk,snack,242,10.0,16.1,13.1,vegetarian,north_indian,1,weight_loss|light
Sprouts Salad,snack,265,10.2,19.9,13.7,vegan,north_indian,1,weight_loss|light
Paneer Cubes,snack,224,4.1,18.4,12.9,vegetarian,north_indian,1,improve_stamina|carb_rich
Vegetable Khichdi,lunch,495,43.6,43.3,11.4,vegetarian,south_indian,1,muscle_gain|high_protein
Corn Chaat,snack,180,7.3,23.9,4.5,vegan,north_indian,1,muscle_gain|high_protein
Corn Chaat,snack,178,3.3,23.6,6.2,vegan,mixed,1,improve_stamina|carb_rich
Rajma Chawal,lunch,577,18.1,66.2,18.3,vegetarian,south_indian,1,improve_stamina|carb_rich
Fruit Salad,snack,276,18.6,28.6,5.7,vegan,north_indian,1,weight_loss|light
Peanut Chaat,snack,180,5.0,10.9,11.3,vegetarian,mixed,1,balanced|beginner
Oats with Milk,breakfast,264,2.6,32.3,11.5,vegetarian,mixed,1,weight_loss|light
Protein Shake,snack,93,1.1,11.3,4.0,vegetarian,north_indian,1,weight_loss|light
Paneer Cubes,snack,145,14.0,7.9,5.1,vegetarian,north_indian,1,muscle_gain|high_protein
Corn Chaat,snack,94,6.2,8.9,2.9,vegan,north_indian,1,weight_loss|light
Chicken Curry Rice,lunch,427,19.2,38.1,5.5,non_vegetarian,south_indian,1,weight_loss|light
Hyderabadi Biryani,lunch,401,11.0,60.1,9.4,non_vegetarian,south_indian,0,improve_stamina|carb_rich
Rajma Chawal,lunch,677,31.3,91.8,6.9,vegetarian,north_indian,0,balanced|beginner
Fruit Bowl,breakfast,157,6.9,17.7,5.1,vegan,mixed,0,improve_stamina|carb_rich
Egg Curry,dinner,388,7.4,44.3,21.7,non_vegetarian,mixed,0,weight_loss|light
Vegetable Khichdi,lunch,412,15.1,37.8,18.6,vegetarian,south_indian,1,balanced|beginner
Hyderabadi Biryani,lunch,456,9.4,54.7,13.0,non_vegetarian,north_indian,0,balanced|beginner
Fruit Bowl,breakfast,250,9.7,25.4,9.9,vegan,north_indian,1,improve_stamina|carb_rich
Idli Sambar,breakfast,387,8.3,43.0,16.7,vegetarian,north_indian,1,weight_loss|light
Sprouts Salad,snack,96,2.2,17.0,1.3,vegan,south_indian,1,weight_loss|light
Tofu Stir Fry,lunch,367,5.3,46.5,14.5,vegan,mixed,1,weight_loss|light
Corn Chaat,snack,115,3.6,13.2,4.3,vegan,south_indian,1,balanced|beginner
Upma,breakfast,421,35.9,20.8,5.5,vegetarian,north_indian,1,muscle_gain|high_protein
Paneer Bhurji,dinner,379,6.8,58.3,3.1,vegetarian,mixed,0,improve_stamina|carb_rich
Grilled Chicken,dinner,695,31.0,56.0,24.6,non_vegetarian,mixed,0,improve_stamina|carb_rich
Sabudana Khichdi,breakfast,301,16.4,33.6,8.5,vegetarian,north_indian,1,muscle_gain|high_protein
Grilled Chicken,dinner,449,14.9,23.6,14.2,non_vegetarian,north_indian,1,weight_loss|light
Hyderabadi Biryani,lunch,471,16.6,70.4,13.4,non_vegetarian,mixed,1,weight_loss|light
Vegetable Soup,dinner,509,6.8,67.1,9.0,vegan,mixed,0,balanced|beginner
Buttermilk,snack,96,3.0,12.5,2.9,vegetarian,north_indian,1,weight_loss|light
Chicken Curry Rice,lunch,544,10.2,52.8,18.2,non_vegetarian,south_indian,0,balanced|beginner
Corn Chaat,snack,265,11.8,30.0,8.5,vegan,north_indian,1,weight_loss|light
Roasted Chana,snack,87,3.1,8.9,3.6,vegan,north_indian,1,weight_loss|light
Dal Rice,lunch,520,18.9,67.4,9.0,vegetarian,north_indian,1,improve_stamina|carb_rich
Protein Shake,snack,251,7.4,19.3,13.8,vegetarian,north_indian,1,improve_stamina|carb_rich
Paneer Cubes,snack,182,3.0,22.5,7.3,vegetarian,north_indian,1,balanced|beginner
Mixed Veg Curry,dinner,486,5.6,61.9,9.3,vegetarian,south_indian,0,balanced|beginner
Boiled Eggs,snack,123,9.1,6.4,5.7,non_vegetarian,north_indian,1,muscle_gain|high_protein
Pav Bhaji,lunch,609,13.4,46.0,23.9,vegetarian,north_indian,0,improve_stamina|carb_rich
Vegetable Khichdi,lunch,435,27.4,52.0,9.2,vegetarian,south_indian,1,muscle_gain|high_protein
Buttermilk,snack,96,9.5,5.6,3.1,vegetarian,south_indian,1,muscle_gain|high_protein
Vegetable Soup,dinner,538,18.7,59.0,19.8,vegan,north_indian,1,balanced|beginner
Buttermilk,snack,152,6.9,10.7,7.7,vegetarian,mixed,1,muscle_gain|high_protein
Fish Fry,dinner,388,12.8,42.8,21.2,non_vegetarian,south_indian,1,weight_loss|light
Oats with Milk,breakfast,342,7.2,28.0,5.3,vegetarian,mixed,1,improve_stamina|carb_rich
Oats with Milk,breakfast,382,9.1,58.6,4.3,vegetarian,north_indian,1,weight_loss|light
Mixed Veg Curry,dinner,664,18.1,56.9,24.1,vegetarian,mixed,0,improve_stamina|carb_rich
Dal Tadka,dinner,425,15.9,47.0,3.4,vegetarian,north_indian,1,improve_stamina|carb_rich
Tofu Stir Fry,lunch,438,17.7,47.0,16.1,vegan,north_indian,1,muscle_gain|high_protein
Protein Shake,snack,131,5.5,11.5,5.9,vegetarian,south_indian,1,balanced|beginner
Buttermilk,snack,268,16.2,26.7,8.3,vegetarian,north_indian,0,muscle_gain|high_protein
Fruit Bowl,breakfast,263,7.9,33.9,8.3,vegan,mixed,1,balanced|beginner
Hyderabadi Biryani,lunch,420,11.8,46.9,18.9,non_vegetarian,north_indian,0,balanced|beginner
Paneer Roti,lunch,613,15.8,79.2,17.3,vegetarian,mixed,1,improve_stamina|carb_rich
Egg Curry,dinner,490,11.2,75.8,23.3,non_vegetarian,north_indian,0,weight_loss|light
Dal Tadka,dinner,662,36.9,68.8,13.4,vegetarian,south_indian,1,muscle_gain|high_protein
Paneer Bhurji,dinner,586,12.5,62.5,20.1,vegetarian,north_indian,1,improve_stamina|carb_rich
Upma,breakfast,288,6.9,35.1,10.8,vegetarian,south_indian,1,improve_stamina|carb_rich
Masala Omelette,breakfast,391,18.2,40.4,3.8,non_vegetarian,mixed,1,improve_stamina|carb_rich
Paneer Roti,lunch,598,18.5,37.2,11.8,vegetarian,south_indian,1,weight_loss|light
Sprouts Salad,snack,203,5.3,25.4,7.1,vegan,mixed,1,weight_loss|light
Protein Shake,snack,90,2.9,8.7,4.1,vegetarian,north_indian,1,improve_stamina|carb_rich
Kadhi Rice,lunch,394,5.7,59.8,17.8,vegetarian,mixed,0,balanced|beginner
Corn Chaat,snack,175,5.7,23.9,4.8,vegan,mixed,1,weight_loss|light
Paneer Sandwich,breakfast,315,4.9,50.1,7.8,vegetarian,south_indian,1,balanced|beginner
Roti Sabji,dinner,544,19.4,21.9,18.9,vegetarian,south_indian,1,improve_stamina|carb_rich
Pav Bhaji,lunch,432,19.9,68.8,9.5,vegetarian,north_indian,1,improve_stamina|carb_rich
Vegetable Soup,dinner,469,28.7,45.2,11.7,vegan,north_indian,1,muscle_gain|high_protein
Sabudana Khichdi,breakfast,237,18.3,21.3,10.5,vegetarian,north_indian,1,weight_loss|light
Vegetable Khichdi,lunch,438,19.5,57.6,13.8,vegetarian,north_indian,1,improve_stamina|carb_rich
Sabudana Khichdi,breakfast,284,8.3,38.6,8.2,vegetarian,mixed,1,balanced|beginner
Chicken Curry Rice,lunch,407,12.1,40.9,18.1,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Masala Omelette,breakfast,379,11.7,39.5,16.0,non_vegetarian,north_indian,1,improve_stamina|carb_rich
Egg Curry,dinner,576,11.2,75.2,8.6,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Peanut Chaat,snack,163,2.8,21.5,5.9,vegetarian,south_indian,1,weight_loss|light
Sabudana Khichdi,breakfast,204,7.9,27.9,4.9,vegetarian,north_indian,1,improve_stamina|carb_rich
Buttermilk,snack,261,5.5,28.9,11.4,vegetarian,north_indian,0,balanced|beginner
Rajma Chawal,lunch,697,23.9,96.5,10.0,vegetarian,south_indian,0,weight_loss|light
Corn Chaat,snack,262,12.5,41.0,3.0,vegan,north_indian,0,balanced|beginner
Vegetable Khichdi,lunch,623,22.1,36.9,30.5,vegetarian,mixed,0,improve_stamina|carb_rich
Thepla,breakfast,170,12.1,17.6,4.2,vegetarian,north_indian,0,muscle_gain|high_protein
Masala Omelette,breakfast,167,16.8,16.1,2.4,non_vegetarian,mixed,0,muscle_gain|high_protein
Tofu Scramble,breakfast,383,27.4,24.7,16.0,vegan,north_indian,1,muscle_gain|high_protein
Tofu Curry,dinner,598,30.0,78.5,6.3,vegan,mixed,1,balanced|beginner
Fish Fry,dinner,565,13.1,71.2,19.2,non_vegetarian,south_indian,1,balanced|beginner
Oats with Milk,breakfast,406,8.4,57.7,15.0,vegetarian,north_indian,1,improve_stamina|carb_rich
Roasted Chana,snack,117,4.2,10.2,5.6,vegan,north_indian,1,improve_stamina|carb_rich
Sabudana Khichdi,breakfast,345,12.4,52.4,9.1,vegetarian,mixed,1,balanced|beginner
Sprouts Salad,snack,234,8.0,30.7,6.7,vegan,south_indian,1,weight_loss|light
Protein Shake,snack,260,6.4,24.5,9.4,vegetarian,south_indian,1,weight_loss|light
Boiled Eggs,snack,109,8.5,6.0,4.7,non_vegetarian,north_indian,1,muscle_gain|high_protein
Egg Curry,dinner,566,13.1,28.8,21.8,non_vegetarian,north_indian,1,weight_loss|light
Rajma Chawal,lunch,394,27.5,43.3,8.8,vegetarian,south_indian,1,muscle_gain|high_protein
