name,meal_type,calories,protein_g,carbs_g,fat_g,food_type,cuisine,is_healthy,tags
Paneer Sandwich 94,breakfast,244,13.7,55.5,21.8,vegetarian,maharashtrian,0,weight_loss|light
Rajma Chawal 95,lunch,569,19.1,44.9,18.9,vegetarian,hyderabadi,0,balanced|beginner
Fruit Bowl 96,breakfast,340,40.5,24.0,9.5,vegan,gujarati,1,muscle_gain|high_protein
Vegetable Poha 97,breakfast,361,10.8,52.0,4.2,vegetarian,bengali,1,weight_loss|light
Vegetable Khichdi 98,lunch,652,43.3,69.8,17.3,vegetarian,gujarati,0,muscle_gain|high_protein
Tofu Scramble 99,breakfast,297,6.4,74.5,22.9,vegan,bengali,0,weight_loss|light
Oats with Milk 100,breakfast,195,5.6,57.2,9.5,vegetarian,rajasthani,1,weight_loss|light
Paneer Roti 101,lunch,395,12.9,74.4,21.0,vegetarian,mixed,0,weight_loss|light
Mixed Veg Curry 102,dinner,572,6.8,29.6,18.3,vegetarian,rajasthani,0,improve_stamina|carb_rich
Peanut Chaat 103,snack,88,16.0,45.5,3.8,vegetarian,punjabi,1,weight_loss|light
Tofu Scramble 104,breakfast,173,11.1,63.7,3.1,vegan,punjabi,1,weight_loss|light
Fruit Bowl 105,breakfast,180,15.2,68.0,14.6,vegan,kerala,1,balanced|beginner
Paneer Cubes 106,snack,137,9.0,46.0,17.4,vegetarian,south_indian,1,balanced|beginner
Paneer Sandwich 107,breakfast,214,32.2,45.9,6.2,vegetarian,mixed,1,muscle_gain|high_protein
Pav Bhaji 108,lunch,516,10.5,56.5,8.9,vegetarian,gujarati,0,improve_stamina|carb_rich
Grilled Chicken 109,dinner,380,6.6,71.1,6.8,non_vegetarian,mixed,1,improve_stamina|carb_rich
Roti Sabji 110,dinner,499,18.1,69.8,24.9,vegetarian,punjabi,0,weight_loss|light
Peanut Chaat 111,snack,285,6.3,41.4,19.8,vegetarian,punjabi,0,weight_loss|light
Corn Chaat 112,snack,295,10.6,34.3,18.5,vegan,mixed,0,improve_stamina|carb_rich
Protein Shake 113,snack,168,16.6,65.3,15.1,vegetarian,bengali,1,weight_loss|light
Rajma Chawal 114,lunch,600,15.2,47.5,13.1,vegetarian,north_indian,0,weight_loss|light
Oats with Milk 115,breakfast,378,19.9,76.3,4.6,vegetarian,south_indian,1,muscle_gain|high_protein
Buttermilk 116,snack,139,19.1,52.1,10.2,vegetarian,south_indian,1,improve_stamina|carb_rich
Vegetable Khichdi 117,lunch,591,27.0,42.4,11.9,vegetarian,punjabi,0,muscle_gain|high_protein
Paneer Bhurji 118,dinner,491,14.6,62.3,19.1,vegetarian,mixed,0,balanced|beginner
Masala Omelette 119,breakfast,431,18.6,48.8,6.4,non_vegetarian,punjabi,1,improve_stamina|carb_rich
Grilled Chicken 120,dinner,575,16.5,32.8,16.5,non_vegetarian,hyderabadi,0,improve_stamina|carb_rich
Protein Shake 121,snack,207,12.2,38.1,24.6,vegetarian,mixed,0,weight_loss|light
Hyderabadi Biryani 122,lunch,559,19.9,30.0,17.0,non_vegetarian,kerala,0,muscle_gain|high_protein
Dal Rice 123,lunch,513,15.7,29.3,23.8,vegetarian,gujarati,0,weight_loss|light
Roti Sabji 124,dinner,596,18.1,65.8,15.2,vegetarian,punjabi,0,balanced|beginner
Protein Shake 125,snack,115,6.5,32.5,4.7,vegetarian,south_indian,1,balanced|beginner
Fruit Salad 126,snack,205,14.8,25.9,9.2,vegan,hyderabadi,1,improve_stamina|carb_rich
Vegetable Khichdi 127,lunch,365,19.7,69.5,16.9,vegetarian,north_indian,1,improve_stamina|carb_rich
Roti Sabji 128,dinner,404,18.5,31.5,7.5,vegetarian,south_indian,1,improve_stamina|carb_rich
Sprouts Salad 129,snack,179,14.2,48.5,10.1,vegan,maharashtrian,1,balanced|beginner
Sabudana Khichdi 130,breakfast,230,14.7,24.6,21.0,vegetarian,punjabi,0,balanced|beginner
Dal Rice 131,lunch,666,6.1,43.0,23.7,vegetarian,kerala,0,improve_stamina|carb_rich
Boiled Eggs 132,snack,202,15.5,55.5,16.1,non_vegetarian,gujarati,1,improve_stamina|carb_rich
Thepla 133,breakfast,431,17.5,36.5,15.3,vegetarian,rajasthani,1,balanced|beginner
Fruit Bowl 134,breakfast,213,29.6,20.3,21.4,vegan,gujarati,0,muscle_gain|high_protein
Vegetable Khichdi 135,lunch,579,19.3,22.3,8.5,vegetarian,kerala,0,balanced|beginner
Idli Sambar 136,breakfast,373,12.6,22.8,19.3,vegetarian,gujarati,0,balanced|beginner
Egg Curry 137,dinner,613,13.5,71.0,20.7,non_vegetarian,hyderabadi,0,weight_loss|light
Fish Curry Rice 138,lunch,573,8.1,67.4,20.6,non_vegetarian,north_indian,0,weight_loss|light
Tofu Curry 139,dinner,380,5.1,63.9,21.0,vegan,mixed,0,improve_stamina|carb_rich
Tofu Stir Fry 140,lunch,692,22.0,67.0,15.0,vegan,hyderabadi,0,muscle_gain|high_protein
Paneer Roti 141,lunch,601,5.4,36.2,10.1,vegetarian,gujarati,0,weight_loss|light
Boiled Eggs 142,snack,228,8.0,73.4,21.9,non_vegetarian,maharashtrian,0,improve_stamina|carb_rich
Fish Fry 143,dinner,443,18.0,23.5,11.4,non_vegetarian,rajasthani,1,weight_loss|light
Protein Shake 144,snack,194,5.2,54.5,22.4,vegetarian,north_indian,0,weight_loss|light
Rajma Chawal 145,lunch,380,12.5,69.1,4.5,vegetarian,punjabi,1,improve_stamina|carb_rich
Fruit Bowl 146,breakfast,206,6.9,73.2,18.3,vegan,punjabi,0,weight_loss|light
Boiled Eggs 147,snack,200,27.2,37.8,5.3,non_vegetarian,north_indian,1,muscle_gain|high_protein
Pav Bhaji 148,lunch,366,42.9,66.0,13.6,vegetarian,mixed,1,muscle_gain|high_protein
Paneer Sandwich 149,breakfast,406,12.0,71.6,9.1,vegetarian,punjabi,1,weight_loss|light
Sabudana Khichdi 150,breakfast,258,12.0,76.3,21.7,vegetarian,gujarati,0,improve_stamina|carb_rich
Egg Curry 151,dinner,677,15.0,48.3,11.7,non_vegetarian,punjabi,0,balanced|beginner
Sabudana Khichdi 152,breakfast,222,21.6,43.7,20.5,vegetarian,maharashtrian,0,muscle_gain|high_protein
Vegetable Poha 153,breakfast,254,27.3,78.3,4.8,vegetarian,bengali,1,muscle_gain|high_protein
Paneer Bhurji 154,dinner,448,11.1,20.3,20.8,vegetarian,north_indian,0,weight_loss|light
Fish Fry 155,dinner,416,41.2,43.9,17.9,non_vegetarian,kerala,1,muscle_gain|high_protein
Vegetable Khichdi 156,lunch,661,35.5,24.1,18.6,vegetarian,gujarati,0,muscle_gain|high_protein
Paneer Bhurji 157,dinner,430,11.8,41.8,4.6,vegetarian,north_indian,1,weight_loss|light
Thepla 158,breakfast,391,10.5,54.5,17.3,vegetarian,north_indian,1,improve_stamina|carb_rich
Vegetable Khichdi 159,lunch,489,6.6,25.6,10.7,vegetarian,bengali,1,balanced|beginner
Paneer Roti 160,lunch,598,28.7,55.3,20.1,vegetarian,south_indian,0,muscle_gain|high_protein
Paneer Cubes 161,snack,174,16.1,55.6,3.5,vegetarian,maharashtrian,1,weight_loss|light
Buttermilk 162,snack,168,5.1,22.0,19.3,vegetarian,punjabi,0,improve_stamina|carb_rich
Chicken Curry Rice 163,lunch,600,12.8,20.4,23.3,non_vegetarian,maharashtrian,0,weight_loss|light
Vegetable Poha 164,breakfast,387,16.2,68.9,15.8,vegetarian,south_indian,1,balanced|beginner
Tofu Scramble 165,breakfast,345,17.8,71.3,3.1,vegan,punjabi,1,improve_stamina|carb_rich
Boiled Eggs 166,snack,195,40.8,34.2,23.4,non_vegetarian,north_indian,0,muscle_gain|high_protein
Dal Tadka 167,dinner,618,6.2,75.3,22.4,vegetarian,gujarati,0,balanced|beginner
Upma 168,breakfast,387,19.0,77.8,23.8,vegetarian,punjabi,0,balanced|beginner
Paneer Bhurji 169,dinner,450,27.9,55.2,21.7,vegetarian,maharashtrian,0,muscle_gain|high_protein
Grilled Chicken 170,dinner,536,6.2,35.4,10.6,non_vegetarian,north_indian,0,balanced|beginner
Fruit Salad 171,snack,237,8.3,37.8,12.8,vegan,punjabi,1,improve_stamina|carb_rich
Oats with Milk 172,breakfast,437,15.2,64.0,10.9,vegetarian,north_indian,1,improve_stamina|carb_rich
Fish Curry Rice 173,lunch,438,6.7,28.3,13.2,non_vegetarian,punjabi,1,improve_stamina|carb_rich
Thepla 174,breakfast,364,9.5,74.7,19.5,vegetarian,kerala,0,weight_loss|light
Chicken Curry Rice 175,lunch,632,14.0,49.9,9.7,non_vegetarian,north_indian,0,balanced|beginner
Fish Curry Rice 176,lunch,354,18.6,49.1,11.2,non_vegetarian,punjabi,1,weight_loss|light
Paneer Bhurji 177,dinner,376,19.4,44.5,24.8,vegetarian,south_indian,0,improve_stamina|carb_rich
Dal Rice 178,lunch,681,8.4,61.6,9.8,vegetarian,punjabi,0,weight_loss|light
Masala Omelette 179,breakfast,243,7.8,75.3,9.5,non_vegetarian,punjabi,1,balanced|beginner
Fruit Bowl 180,breakfast,427,16.2,34.5,23.4,vegan,kerala,0,improve_stamina|carb_rich
Paneer Sandwich 181,breakfast,387,5.7,59.2,23.1,vegetarian,bengali,0,balanced|beginner
Egg Curry 182,dinner,467,31.3,36.7,24.8,non_vegetarian,gujarati,0,muscle_gain|high_protein
Chicken Curry Rice 183,lunch,629,15.6,77.7,16.8,non_vegetarian,south_indian,0,weight_loss|light
Buttermilk 184,snack,242,16.1,25.9,21.1,vegetarian,north_indian,0,weight_loss|light
Sprouts Salad 185,snack,265,14.3,27.9,19.3,vegan,north_indian,0,weight_loss|light
Paneer Cubes 186,snack,224,5.8,26.1,18.3,vegetarian,punjabi,0,improve_stamina|carb_rich
Vegetable Khichdi 187,lunch,495,43.6,43.3,11.4,vegetarian,south_indian,1,muscle_gain|high_protein
Corn Chaat 188,snack,180,22.9,74.5,14.1,vegan,rajasthani,1,muscle_gain|high_protein
Corn Chaat 189,snack,178,8.0,57.7,15.2,vegan,hyderabadi,1,improve_stamina|carb_rich
Rajma Chawal 190,lunch,577,18.1,66.2,18.3,vegetarian,south_indian,0,improve_stamina|carb_rich
Fruit Salad 191,snack,276,18.6,28.6,5.7,vegan,bengali,1,weight_loss|light
Peanut Chaat 192,snack,180,10.7,23.1,24.0,vegetarian,mixed,0,balanced|beginner
Oats with Milk 193,breakfast,264,5.1,64.0,22.8,vegetarian,mixed,0,weight_loss|light
Protein Shake 194,snack,93,6.5,69.9,24.7,vegetarian,punjabi,0,weight_loss|light
Paneer Cubes 195,snack,145,44.9,25.2,16.3,vegetarian,gujarati,1,muscle_gain|high_protein
Corn Chaat 196,snack,94,14.5,21.0,6.8,vegan,north_indian,1,weight_loss|light
Chicken Curry Rice 197,lunch,427,19.2,38.1,5.5,non_vegetarian,south_indian,1,weight_loss|light
Hyderabadi Biryani 198,lunch,401,14.5,79.0,12.3,non_vegetarian,south_indian,1,improve_stamina|carb_rich
Rajma Chawal 199,lunch,677,19.9,58.3,4.4,vegetarian,bengali,0,balanced|beginner
Fruit Bowl 200,breakfast,157,15.4,39.8,11.5,vegan,maharashtrian,1,improve_stamina|carb_rich
Egg Curry 201,dinner,388,7.4,44.3,21.7,non_vegetarian,hyderabadi,0,weight_loss|light
Vegetable Khichdi 202,lunch,412,19.7,49.1,24.2,vegetarian,kerala,0,balanced|beginner
Hyderabadi Biryani 203,lunch,456,5.5,31.9,7.6,non_vegetarian,punjabi,1,balanced|beginner
Fruit Bowl 204,breakfast,250,13.8,36.1,14.1,vegan,bengali,1,improve_stamina|carb_rich
Idli Sambar 205,breakfast,387,8.3,43.0,16.7,vegetarian,north_indian,1,weight_loss|light
Sprouts Salad 206,snack,96,8.9,69.3,5.2,vegan,south_indian,1,weight_loss|light
Tofu Stir Fry 207,lunch,367,7.5,66.2,20.6,vegan,mixed,0,weight_loss|light
Corn Chaat 208,snack,115,8.9,32.6,10.5,vegan,kerala,1,balanced|beginner
Upma 209,breakfast,421,35.9,20.8,5.5,vegetarian,rajasthani,1,muscle_gain|high_protein
Paneer Bhurji 210,dinner,379,6.8,58.3,3.1,vegetarian,mixed,1,improve_stamina|carb_rich
Grilled Chicken 211,dinner,695,16.5,29.8,13.1,non_vegetarian,maharashtrian,0,improve_stamina|carb_rich
Sabudana Khichdi 212,breakfast,301,23.1,47.2,12.0,vegetarian,rajasthani,1,muscle_gain|high_protein
Grilled Chicken 213,dinner,449,14.9,23.6,14.2,non_vegetarian,rajasthani,1,weight_loss|light
Hyderabadi Biryani 214,lunch,471,16.6,70.4,13.4,non_vegetarian,mixed,1,weight_loss|light
Vegetable Soup 215,dinner,509,6.8,67.1,9.0,vegan,maharashtrian,0,balanced|beginner
Buttermilk 216,snack,96,18.5,78.3,18.4,vegetarian,bengali,0,weight_loss|light
Chicken Curry Rice 217,lunch,544,10.2,52.8,18.2,non_vegetarian,kerala,0,balanced|beginner
Corn Chaat 218,snack,265,16.3,41.3,11.7,vegan,north_indian,1,weight_loss|light
Roasted Chana 219,snack,87,14.3,40.5,16.3,vegan,gujarati,1,weight_loss|light
Dal Rice 220,lunch,520,18.9,67.4,9.0,vegetarian,rajasthani,0,improve_stamina|carb_rich
Protein Shake 221,snack,251,12.9,33.5,24.0,vegetarian,rajasthani,0,improve_stamina|carb_rich
Paneer Cubes 222,snack,182,9.6,72.7,23.6,vegetarian,north_indian,0,balanced|beginner
Mixed Veg Curry 223,dinner,486,5.6,61.9,9.3,vegetarian,south_indian,1,balanced|beginner
Boiled Eggs 224,snack,123,28.9,20.4,17.9,non_vegetarian,rajasthani,1,muscle_gain|high_protein
Pav Bhaji 225,lunch,609,13.4,46.0,23.9,vegetarian,bengali,0,improve_stamina|carb_rich
Vegetable Khichdi 226,lunch,435,36.4,69.2,12.2,vegetarian,kerala,1,muscle_gain|high_protein
Buttermilk 227,snack,96,33.7,20.0,11.1,vegetarian,kerala,1,muscle_gain|high_protein
Vegetable Soup 228,dinner,538,18.7,59.0,19.8,vegan,gujarati,0,balanced|beginner
Buttermilk 229,snack,152,18.3,28.3,20.4,vegetarian,mixed,0,muscle_gain|high_protein
Fish Fry 230,dinner,388,12.8,42.8,21.2,non_vegetarian,kerala,0,weight_loss|light
Oats with Milk 231,breakfast,342,7.2,28.0,5.3,vegetarian,hyderabadi,1,improve_stamina|carb_rich
Oats with Milk 232,breakfast,382,9.1,58.6,4.3,vegetarian,rajasthani,1,weight_loss|light
Mixed Veg Curry 233,dinner,664,18.1,56.9,24.1,vegetarian,hyderabadi,0,improve_stamina|carb_rich
Dal Tadka 234,dinner,425,15.9,47.0,3.4,vegetarian,rajasthani,1,improve_stamina|carb_rich
Tofu Stir Fry 235,lunch,438,22.1,58.8,20.1,vegan,bengali,0,muscle_gain|high_protein
Protein Shake 236,snack,131,12.1,25.3,12.9,vegetarian,south_indian,1,balanced|beginner
Buttermilk 237,snack,268,41.3,68.0,21.2,vegetarian,bengali,0,muscle_gain|high_protein
Fruit Bowl 238,breakfast,263,15.0,64.1,15.7,vegan,maharashtrian,1,balanced|beginner
Hyderabadi Biryani 239,lunch,420,11.8,46.9,18.9,non_vegetarian,north_indian,0,balanced|beginner
Paneer Roti 240,lunch,613,15.8,79.2,17.3,vegetarian,mixed,0,improve_stamina|carb_rich
Egg Curry 241,dinner,490,11.2,75.8,23.3,non_vegetarian,rajasthani,0,weight_loss|light
Dal Tadka 242,dinner,662,18.5,34.5,6.7,vegetarian,south_indian,0,muscle_gain|high_protein
Paneer Bhurji 243,dinner,586,7.4,37.1,11.9,vegetarian,punjabi,0,improve_stamina|carb_rich
Upma 244,breakfast,288,9.5,48.6,14.9,vegetarian,south_indian,1,improve_stamina|carb_rich
Masala Omelette 245,breakfast,391,18.2,40.4,3.8,non_vegetarian,maharashtrian,1,improve_stamina|carb_rich
Paneer Roti 246,lunch,598,18.5,37.2,11.8,vegetarian,kerala,0,weight_loss|light
Sprouts Salad 247,snack,203,8.9,42.4,11.8,vegan,hyderabadi,1,weight_loss|light
Protein Shake 248,snack,90,11.2,34.2,15.9,vegetarian,rajasthani,1,improve_stamina|carb_rich
Kadhi Rice 249,lunch,394,5.7,59.8,17.8,vegetarian,mixed,1,balanced|beginner
Corn Chaat 250,snack,175,12.7,53.6,10.7,vegan,mixed,1,weight_loss|light
Paneer Sandwich 251,breakfast,315,7.0,71.7,11.1,vegetarian,south_indian,1,balanced|beginner
Roti Sabji 252,dinner,544,19.4,21.9,18.9,vegetarian,kerala,0,improve_stamina|carb_rich
Pav Bhaji 253,lunch,432,19.9,68.8,9.5,vegetarian,gujarati,1,improve_stamina|carb_rich
Vegetable Soup 254,dinner,469,28.7,45.2,11.7,vegan,gujarati,1,muscle_gain|high_protein
Sabudana Khichdi 255,breakfast,237,18.3,21.3,10.5,vegetarian,north_indian,1,weight_loss|light
Vegetable Khichdi 256,lunch,438,19.5,57.6,13.8,vegetarian,punjabi,1,improve_stamina|carb_rich
Sabudana Khichdi 257,breakfast,284,14.8,68.4,14.5,vegetarian,mixed,1,balanced|beginner
Chicken Curry Rice 258,lunch,407,15.2,51.4,22.7,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Masala Omelette 259,breakfast,379,17.0,57.6,23.3,non_vegetarian,gujarati,0,improve_stamina|carb_rich
Egg Curry 260,dinner,576,11.2,75.2,8.6,non_vegetarian,north_indian,0,improve_stamina|carb_rich
Peanut Chaat 261,snack,163,8.1,62.5,17.1,vegetarian,south_indian,1,weight_loss|light
Sabudana Khichdi 262,breakfast,204,13.6,47.9,8.5,vegetarian,punjabi,1,improve_stamina|carb_rich
Buttermilk 263,snack,261,10.6,56.0,22.1,vegetarian,bengali,0,balanced|beginner
Rajma Chawal 264,lunch,697,15.1,61.0,6.3,vegetarian,kerala,0,weight_loss|light
Corn Chaat 265,snack,262,19.5,64.1,4.7,vegan,punjabi,1,balanced|beginner
Vegetable Khichdi 266,lunch,623,14.8,24.7,20.4,vegetarian,maharashtrian,0,improve_stamina|carb_rich
